time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.49127362709e-05,1.65370258797e-06,10.0081053487,0.000239577335485,0.0109117027449,0.0,-0.00326616226074,9.41122683094e-05,0.270147632426,-0.00669440022952,-0.0374055944793,0.0,488.9801333437924,486.1861477232601,488.4930041685051,487.99368466555035
0.12000000000000001,-0.000477869188179,1.2412879618e-05,10.0282336467,0.000112314008484,0.00872623229339,0.0,-0.0106035403662,0.00025848394949,0.400760514996,-0.0137568185732,-0.0415220121872,0.0,447.08119914729286,446.74500123436536,446.6042571784789,446.0280616332699
0.18,-0.00129738821141,3.27609784407e-05,10.0555616455,0.000537446443728,0.00858296061852,0.0,-0.0167173275064,0.000477714105951,0.510129634829,-0.0272656173888,-0.059551018163,0.0,441.599448023116,440.10857572438505,439.8200088376686,438.699976527772
0.23999999999999996,-0.00249513526352,6.81323995393e-05,10.088913956,6.28271715122,0.0132361092387,0.0,-0.0237093080845,0.000592383975464,0.601564638173,-0.0196861766015,-0.0921932352821,0.0,436.4984762341286,433.7622629105809,433.4950883520717,434.1313137197108
0.3,-0.00420557957165,9.01222834332e-05,10.1303571615,6.28193265572,0.00954002026286,0.0,-0.0328690090103,6.08887134609e-05,0.779775666499,-0.0278892038027,-0.0785041279158,0.0,461.25155447273875,462.32515137482,461.4646460303826,460.81674835031515
0.36000000000000004,-0.00640078518554,7.316926585e-05,10.1839301394,0.000609662669136,0.00756136894904,0.0,-0.0400439849974,-0.000374675682236,1.00582118939,-0.0497223690278,-0.0615598032548,0.0,474.7272698860433,476.0217357489546,477.19303258703275,475.5232127912156
0.4200000000000001,-0.00896276070581,5.36359850973e-05,10.2494209391,6.28130506865,0.00458562784244,0.0,-0.0450101256818,-0.00056407739362,1.17704693135,-0.0431345939736,-0.0534015967949,0.0,459.5708721652953,460.2146836605213,459.7963841562156,460.31664875809935
0.48000000000000015,-0.0117607131126,-1.85009176569e-05,10.3243389112,6.28235405391,0.00347589152663,0.0,-0.0481527278987,-0.00174784576599,1.3200650037,-0.0234090126744,-0.0705004949156,0.0,452.8176558650133,451.43778532323853,450.533356816598,452.1246154143508
0.5400000000000001,-0.0147532491664,-0.000126696504817,10.4085069592,0.00246451151527,0.00879503722493,0.0,-0.052231302026,-0.00146264982144,1.4853326137,-0.0483889239954,-0.105573441908,0.0,460.5309736524179,457.743310907024,459.56877936676966,457.5843362059899
0.6000000000000002,-0.0180462274461,-0.000171856035606,10.5007854567,6.11334302496e-05,0.00260123433817,0.0,-0.0568942029066,-0.000280587880209,1.59048173658,-0.0574273022482,-0.102494623256,0.0,440.30614784778714,440.55111950814097,441.378398804852,440.6301733849055
0.6600000000000003,-0.021496121357,-0.00020162352056,10.6018787549,6.27997653358,6.28021403647,0.0,-0.0574524682249,-0.00109192708869,1.77902137139,-0.0538812060337,-0.0952868014665,0.0,465.7586748393989,466.31387421320227,466.9760007028824,467.25052532918164
0.7200000000000003,-0.0248588549841,-0.000308287118143,10.7140523382,0.00507233102834,6.27671699032,0.0,-0.0542242550045,-0.00156016898704,1.95980519507,-0.0178911380278,-0.0801209177013,0.0,465.1361843831946,466.3158722884624,462.53751723863076,465.36208903724264
0.7800000000000004,-0.0279553511056,-0.000296446775737,10.8355199029,0.00405616556645,6.27234070466,0.0,-0.0485224510012,0.00185007592077,2.08888398143,-0.021975032922,-0.0740304827205,0.0,449.62211642936046,450.11046338673333,449.7684452469068,449.4376348936082
0.8400000000000004,-0.030584103778,-8.80903080901e-05,10.9674356211,0.00365144845059,6.26788778601,0.0,-0.0385761090263,0.00505912136206,2.30788524776,-0.0337152739637,-0.0748987882817,0.0,476.59542987801245,476.5251534796788,478.33956860429174,477.4446440528118
0.9000000000000005,-0.0325430783159,0.000288333307826,11.1103662034,0.00177764723759,6.26369796418,0.0,-0.0262653898962,0.00727934630729,2.45615429722,-0.0305183634768,-0.0699401993604,0.0,456.0628019208375,456.4546525014636,457.6525002583364,457.90650538293926
0.9600000000000005,-0.0336997147461,0.000755189011488,11.2609953751,6.2831309367,6.26045369795,0.0,-0.0119713149415,0.00809308616306,2.56457488883,-0.0305650619667,-0.0818969781147,0.0,446.56394125395394,445.58331254524296,444.69130132673354,444.68716846603104
1.0200000000000005,-0.033793924716,0.00123476108022,11.4238963542,6.28203550636,6.25709174689,0.0,0.00927335795203,0.00776278243733,2.86474521467,-0.0412550708425,-0.0693983560672,0.0,501.9132137207596,502.8154133516758,502.5913227424979,501.8156203626071
1.0800000000000005,-0.0326142016973,0.00166279698295,11.6017219791,6.27964416268,6.25562745353,0.0,0.0302274934493,0.00622499835413,3.06226204203,-0.0390617921227,-0.0525600573692,0.0,474.13699000950044,475.4261630449345,473.9249805654889,474.09278821610576
1.1400000000000006,-0.030290924917,0.00196754411539,11.7877914656,6.27989503062,6.26745132721,0.0,0.0460841391561,0.00397738627685,3.13986905669,-0.0579479014947,-0.0113487331819,0.0,436.2086751062034,439.63582178945006,440.4816680300559,438.9157770989817
1.2000000000000006,-0.0272030303096,0.00212842070209,11.9791015588,6.2774099258,6.26752157235,0.0,0.056823372539,0.00112393751954,3.23686338323,-0.0481731061207,-0.0221185286955,0.0,445.41390763871385,444.53233959320016,445.32611865623124,446.12298000318714
